15	886152453846	B12121001 	ALAMEDA	01	BERRICS MENS	NVY 	NAVY	XX	XXL 	69	0			
15	886152421944	B12187001 	STEP	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	ONE 	10	0			
15	886152421951	B12187001 	STEP	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	ONE 	10	0			
15	886152415417	B12191001 	DOCK	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	ONE 	22	0			
15	886152415424	B12191001 	DOCK	11	BERRICS MENS ACCESSORIES	RED 	DEEP RED	XX	ONE 	22	0			
15	886152440839	B12196001 	UNDERSTATED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	ONE 	24	0			
15	886152440846	B12196001 	UNDERSTATED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	ONE 	24	0			
15	886152440853	B12196001 	UNDERSTATED	11	BERRICS MENS ACCESSORIES	ORG 	HUNTER ORANGE	XX	ONE 	24	0			
15	886152440860	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	XS  	29.5	0			
15	886152440877	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	XS/S	29.5	0			
15	886152440884	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	S/M 	29.5	0			
15	886152440891	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	M/L 	29.5	0			
15	886152440907	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	L/XL	29.5	0			
15	886152440914	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	XL  	29.5	0			
15	886152440921	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	HGR 	HTR GREY	XX	XS  	29.5	0			
15	886152440938	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	HGR 	HTR GREY	XX	XS/S	29.5	0			
15	886152440945	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	HGR 	HTR GREY	XX	S/M 	29.5	0			
15	886152440952	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	HGR 	HTR GREY	XX	M/L 	29.5	0			
15	886152440969	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	HGR 	HTR GREY	XX	L/XL	29.5	0			
15	886152440976	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	HGR 	HTR GREY	XX	XL  	29.5	0			
15	886152440983	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY 	XX	XS  	29.5	0			
15	886152440990	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY 	XX	XS/S	29.5	0			
15	886152441003	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY 	XX	S/M 	29.5	0			
15	886152441010	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY 	XX	M/L 	29.5	0			
15	886152441027	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY 	XX	L/XL	29.5	0			
15	886152441034	B12196002 	LABELED	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY 	XX	XL  	29.5	0			
15	886152447647	B12196005 	AUTHORITY	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	ONE 	26	0			
15	886152447654	B12196005 	AUTHORITY	11	BERRICS MENS ACCESSORIES	RED 	DEEP RED	XX	ONE 	26	0			
15	886152441164	B12196006 	PENDELTON	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	ONE 	22	0			
15	886152441171	B12196006 	PENDELTON	11	BERRICS MENS ACCESSORIES	CAM 	CAMO	XX	ONE 	24	0			
15	886152576835	B12196006 	PENDELTON	11	BERRICS MENS ACCESSORIES	COF 	TURKISH COFFEE	XX	ONE 	22	0			
15	886152778895	B12196006 	PENDELTON	11	BERRICS MENS ACCESSORIES	NVY 	NAVY	XX	ONE 	22	0			
15	886152441188	B12196006 	PENDELTON	11	BERRICS MENS ACCESSORIES	RED 	CRIMSON	XX	ONE 	22	0			
15	886152441195	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	XS  	32	0			
15	886152441201	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	XS/S	32	0			
15	886152441218	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	S/M 	32	0			
15	886152441225	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	M/L 	32	0			
15	886152441232	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	L/XL	32	0			
15	886152441249	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	BLK 	BLACK	XX	XL  	32	0			
15	886152441256	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	XS  	32	0			
15	886152441263	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	XS/S	32	0			
15	886152441270	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	S/M 	32	0			
15	886152441287	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	M/L 	32	0			
15	886152441294	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	L/XL	32	0			
15	886152441300	B12196007 	WILSHIRE	11	BERRICS MENS ACCESSORIES	NVY 	ACADEMY NAVY	XX	XL  	32	0			
